Question	Answer	Source
hi	Здравей! Готов ли си да започнем пробно интервю?	Editorial
Zdrasti	Здравей! Готов ли си да започнем пробно интервю?	Editorial
Da	В кой град искаш да работиш?	Editorial
Да	В кой град искаш да работиш?	Editorial
Варна	Къде учиш?	Editorial
Varna	Къде учиш?	Editorial
Sofia	Къде учиш?	Editorial
София	Къде учиш?	Editorial
UE Varna	Супер! Разкажи ми малко за себе си ... С каква специалност си там?	Editorial
Informatika	Хехе, страхотно! В коя сфера на ИТ си се насочил?	Editorial
Development	Нашият Dev Team използват главно продукти на Oracle, като приложенията са базирани на Oracle SOA suite. А ти какви интереси имаш в програмирането?	Editorial
Web	Имаме нужда от Web Developer! Имаш ли опит и от колко време се занимаваш?	Editorial
SoftUni	Супер! Разкажи ми малко за себе си ... Коя технология си избрал да изучаваш?	Editorial
c#	За съжаление нямаме свободни позиции за .NET developer. Нашият Dev Team използват главно продукти на Oracle, като приложенията са базирани на Oracle SOA suite.	Editorial
java	За съжаление нямаме свободни позиции за Java developer. Нашият Dev Team използват главно продукти на Oracle, като приложенията са базирани на Oracle SOA suite.	Editorial
php	За съжаление нямаме свободни позиции за php developer. Нашият Dev Team използват главно продукти на Oracle, като приложенията са базирани на Oracle SOA suite.	Editorial
javascript	За съжаление нямаме свободни позиции за javascript developer. Нашият Dev Team използват главно продукти на Oracle, като приложенията са базирани на Oracle SOA suite.	Editorial
